# CONFIG: NODES=50000 | MAP=20000 | MAX_RANGE=500 (Euclidean)
# ID Costo X Y
586 671 2763 16533
587 263 5654 1282
588 546 14344 14398
589 172 17129 19982
590 949 11924 12217
591 428 9269 12694
592 63 11087 19591
593 347 10965 2159
594 704 3096 18283
595 268 12666 9310
596 351 19749 4927
597 689 2670 19095
598 327 4634 11462
599 619 12843 4225
600 582 2776 10144
601 842 12343 10763
602 105 4187 17248
603 380 13874 16662
604 326 597 11881
605 359 5906 7018
606 241 15934 6291
607 89 4507 5077
608 529 9692 3314
609 48 17687 17253
610 621 11035 4294
611 176 12344 5054
612 748 5925 5424
613 430 14341 1431
614 464 11937 7783
615 249 9336 14710
616 326 17498 7837
617 386 15368 6357
618 482 18691 14437
619 524 9233 12513
620 999 17283 13718
621 830 5310 6543
622 903 19813 4535
623 666 8192 1709
624 577 15747 12163
625 881 3361 16905
626 95 4085 9340
627 470 5253 8938
628 860 16821 4828
629 979 14335 3005
630 915 7275 14782
631 434 11455 873
632 524 1745 12991
633 405 12253 7725
634 239 2674 12285
635 963 923 10442
636 820 3246 10986
637 49 4785 4508
638 722 9400 15481
639 469 4547 15371
640 29 172 2596
641 865 8386 7066
642 972 4899 17983
643 443 19951 17294
644 253 3643 9440
645 58 9868 3992
646 664 7813 13756
647 123 14978 2058
648 558 16378 19553
649 598 538 16887
650 308 7927 4704
651 639 14065 51
652 594 11561 7882
653 690 13650 6137
654 379 2805 17153
655 567 2217 17237
656 577 16624 16633
657 904 666 12794
658 660 15405 1426
659 269 12677 12232
660 817 532 11701
661 256 2213 11298
662 762 3396 19067
663 55 10895 4371
664 356 11544 17891
665 722 5737 15224
666 840 15680 5972
667 743 4418 2067
668 310 14997 1211
669 820 6605 1435
670 333 6536 1373
671 417 10160 16888
672 269 17794 15512
673 302 1199 6262
674 896 11697 1566
675 137 10876 8952
676 920 12059 14318
677 926 13107 14409
678 201 12669 11109
679 386 16259 16302
680 830 17015 8739
681 90 2707 13910
682 852 14110 19741
683 310 5913 17874
684 91 10525 3361
685 323 10745 9687
686 744 14611 19746
687 716 13962 5460
688 467 14545 11519
689 639 1387 11552
690 664 14252 8996
691 697 1879 2458
692 535 13310 11904
693 156 5242 1020
694 45 19908 14358
695 251 4136 2203
696 402 12003 11866
697 629 18587 1061
698 981 5027 14743
699 464 12155 12190
700 150 2519 18806
701 417 17349 12024
702 265 10301 9132
703 763 3717 849
704 540 6096 16352
705 130 12680 18404
706 730 8577 8529
707 636 14623 7031
708 214 9357 16095
709 883 4018 4447
710 186 2426 14812
711 839 14585 2876
712 736 10472 11384
713 565 2127 18022
714 881 9514 9828
715 822 5161 5704
716 239 11845 16670
717 821 3976 6585
718 819 4550 7757
719 379 16188 861
720 387 18154 18752
721 142 15315 18076
722 326 2825 2154
723 548 13046 15684
724 853 13460 13416
725 138 18838 2416
726 470 10388 2430
727 362 15264 16952
728 665 4205 18065
729 796 19260 5962
730 524 4228 14176
731 540 1815 4068
732 178 5014 9965
733 967 5307 10572
734 980 7388 11338
735 876 17003 9307
736 211 2584 8211
737 138 18049 8993
738 105 9922 17481
739 616 16468 5525
740 185 19026 5052
741 872 19829 11063
742 855 18468 1349
743 56 929 2661
744 676 18899 8672
745 436 6907 18747
746 920 992 16319
747 667 17877 9491
748 260 9899 15825
749 474 13306 9746
750 171 2391 1963
751 505 14404 13619
752 358 15218 6685
753 330 19879 4707
754 418 10463 11317
755 537 4284 12141
756 336 18404 3479
757 135 7921 15285
758 263 8764 14732
759 61 4616 3172
760 894 9509 12587
761 995 13701 8135
762 966 5233 10729
763 204 18929 10247
764 537 5221 16327
765 910 15296 16343
766 33 10110 16297
767 527 2950 12885
768 230 14982 7888
769 59 19115 11563
770 516 1656 9219
771 302 19579 15420
772 877 17586 267
773 147 3522 14120
774 792 8666 11985
775 56 13213 11991
776 593 13126 1676
777 381 18409 6378
778 85 18128 9456
779 471 12659 16523
780 855 18017 9165
781 109 3893 4216
782 823 12907 12228
783 971 11111 18279
784 213 11980 4727
785 421 19741 16682
786 56 16386 1319
787 740 1275 4490
788 541 10913 15523
789 630 14974 4880
790 345 16892 4580
791 412 10437 5324
792 354 9805 19455
793 555 16623 16702
794 316 16051 18445
795 387 15561 545
796 436 10854 3591
797 825 19126 10081
798 495 873 19559
799 601 8700 18955
800 607 7456 1682
801 546 15743 5587
802 851 12458 4842
803 596 7936 1034
804 29 3601 6251
805 438 14451 10279
806 717 4962 13531
807 523 6681 13447
808 732 15453 2040
809 222 4524 16996
810 688 18379 10651
811 395 15675 17218
812 480 10281 5674
813 569 17469 11217
814 634 11609 8662
815 990 15865 6300
816 581 8077 9142
817 974 9781 7368
818 731 9752 9470
819 334 6792 16023
820 583 15722 11429
821 134 8960 9430
822 398 18791 17799
823 987 12928 11309
824 53 4799 9517
825 364 9425 2589
826 775 14495 8403
827 216 15698 7011
828 965 17648 8884
829 150 18416 8900
830 255 3579 19229
831 695 7944 1663
832 663 17401 7394
833 112 7629 1720
834 744 13543 10823
835 707 15479 3294
836 997 4504 169
837 426 18033 5175
838 676 15587 15645
839 338 6535 9412
840 939 9352 1938
841 247 2931 18813
842 945 17535 1222
843 913 5736 13693
844 866 5760 1190
845 200 13008 16232
846 19 9485 1227
847 627 9777 18610
848 301 3516 10978
849 546 14888 17802
850 881 16184 4397
851 289 16522 15336
852 348 6318 3691
853 673 5324 15037
854 24 8430 6101
855 591 11046 9667
856 635 6329 5750
857 537 13287 14014
858 420 10745 2842
859 153 3125 6054
860 968 15645 10603
861 277 8128 223
862 467 12568 7717
863 319 8748 10801
864 21 19086 18772
865 719 8570 11781
866 693 7743 2035
867 324 3873 15250
868 712 5233 13284
869 716 16466 10190
870 386 3847 9667
871 990 7236 7180
872 166 4376 15669
873 392 14908 19848
874 944 13626 17997
875 831 15428 17613
876 706 7156 8108
877 548 19523 2682
878 730 14639 17307
879 949 11854 2559
880 73 18486 3676
881 217 17945 16563
882 163 18766 17585
883 884 5391 10751
884 129 17050 14478
885 510 6730 19108
886 466 2979 16723
887 145 1823 14858
888 477 16818 13612
889 582 18478 1891
890 750 15151 10098
891 270 713 12974
892 602 98 7140
893 443 2393 1484
894 564 11289 2089
895 966 1974 2261
896 303 15468 1039
897 797 13397 5897
898 393 4437 13774
899 900 12533 14697
900 92 12369 12309
901 679 17671 4357
902 192 11395 3887
903 551 17604 12879
904 864 4172 7297
905 315 113 744
906 444 15171 17840
907 853 17430 12428
908 481 7525 8110
909 292 11342 5083
910 42 6176 3697
911 256 13737 512
912 113 6752 2204
913 467 19462 1100
914 260 19588 1595
915 459 1449 13181
916 232 7678 17686
917 525 1849 4591
918 845 9478 7673
919 601 18877 10449
920 252 19592 10507
921 686 9888 4694
922 433 17080 7243
923 72 9846 9016
924 910 18242 19387
925 579 5738 13998
926 362 16240 1536
927 336 12489 17185
928 162 13642 13377
929 198 9826 12335
930 256 17626 15516
931 888 7384 9854
932 946 4730 15172
933 432 1888 18428
934 552 13648 18261
935 258 4393 12727
936 348 8355 6662
937 877 2590 14738
938 558 12159 3029
939 284 6241 1688
940 627 12359 19823
941 202 1295 2384
942 232 19253 18312
943 900 15708 6844
944 989 10910 9934
945 969 502 6940
946 774 6226 3844
947 722 15693 7949
948 416 19805 6701
949 339 7842 18090
950 487 9275 12473
951 325 17486 11772
952 535 8570 11784
953 110 16294 15270
954 946 15384 10493
955 330 6656 12147
956 586 13563 1498
957 26 7250 4781
958 967 8545 18130
959 747 19137 18977
960 166 13683 9672
961 245 6428 10809
962 863 12446 18670
963 573 8052 16361
964 791 11061 8432
965 481 16011 16075
966 183 5512 11540
967 510 4586 17909
968 667 6030 17764
969 44 1924 17168
970 792 2435 1589
971 150 209 13513
972 734 7583 2227
973 233 4948 299
974 392 16571 14942
975 685 1980 15833
976 16 15986 515
977 431 17439 18076
978 552 388 548
979 303 9002 17555
980 842 561 16456
981 119 14109 5874
982 162 3156 17183
983 644 7896 6289
984 844 17250 8271
985 824 11614 8759
986 392 13005 2589
987 588 13304 15040
988 317 7969 7400
989 105 2641 1038
990 396 13280 12427
991 67 18110 15597
992 94 309 5615
993 670 16379 14218
994 888 10855 18541
995 951 3124 17306
996 226 1394 7528
997 287 18572 15581
998 710 1525 2436
999 587 9187 17794
1000 961 1078 5877
1001 994 10305 513
1002 157 6788 19235
1003 316 13051 2521
1004 256 5323 18479
1005 703 18569 12751
1006 403 17713 10870
1007 522 4585 2569
1008 110 11333 1759
1009 868 14322 7606
1010 629 2490 11160
1011 802 19516 12999
1012 659 10694 970
1013 512 8956 14763
1014 576 7475 11659
1015 200 12301 14150
1016 97 19197 12454
1017 740 9678 8075
1018 284 2408 2688
1019 738 5053 12451
1020 334 5055 12767
1021 103 11819 3491
1022 465 170 10101
1023 114 11793 8839
1024 201 4341 2860
1025 580 14122 14707
1026 427 18177 16791
1027 101 3384 860
1028 105 11597 18160
1029 813 19560 19596
1030 22 10630 12623
1031 407 9563 13559
1032 936 2775 18334
1033 543 7954 18741
1034 183 5556 12475
1035 318 4549 8811
1036 159 8795 16158
1037 455 2073 5479
1038 316 9042 13798
1039 379 15867 2520
1040 748 8247 8080
1041 641 16246 19457
1042 119 6407 15003
1043 16 4439 9983
1044 871 12966 10886
1045 460 12448 10798
1046 845 10968 14110
1047 317 19477 4460
1048 980 10507 19766
1049 331 6581 15696
1050 336 5820 13049
1051 1000 9550 16089
1052 343 18870 7943
1053 846 12322 9184
1054 126 12875 11960
1055 616 18476 6547
1056 708 17879 5895
1057 985 18025 881
1058 458 15126 6869
1059 848 9546 2266
1060 152 13406 16361
1061 268 9923 7930
1062 818 5050 13865
1063 469 12353 2423
1064 606 19593 15703
1065 528 13133 17510
1066 47 13706 17814
1067 618 11781 17593
1068 797 2784 3583
1069 180 8134 11632
1070 670 1451 18455
1071 998 13094 10865
1072 20 14105 3471
1073 237 3231 8478
1074 581 16733 16999
1075 236 19022 18849
1076 410 14607 12259
1077 717 15173 19286
1078 363 16399 4939
1079 117 804 15819
1080 952 9680 13630
1081 861 2813 3803
1082 329 4642 11414
1083 813 11241 14920
1084 504 6778 17075
1085 109 11413 15602
1086 336 14357 14825
1087 55 2201 9839
1088 879 3771 740
1089 703 11241 3583
1090 538 5385 7992
1091 173 5716 18084
1092 446 10845 18345
1093 826 15140 7597
1094 200 13272 6044
1095 39 14160 12962
1096 616 6465 14731
1097 14 14075 12741
1098 295 7038 6743
1099 114 2050 18918
1100 384 17592 6126
1101 478 10681 6457
1102 696 3734 8596
1103 999 16039 17292
1104 407 10269 19561
1105 126 12862 19234
1106 875 11400 11533
1107 843 15003 5653
1108 96 9746 19338
1109 130 4389 10262
1110 129 7817 10006
1111 720 5998 12232
1112 407 4632 16738
1113 151 13704 19543
1114 443 18835 12573
1115 660 6086 15947
1116 578 17608 5676
1117 305 5467 16044
1118 332 4597 6130
1119 896 14778 1756
1120 506 11764 314
1121 844 4473 6393
1122 527 12581 18401
1123 711 16219 13406
1124 737 16112 13619
1125 181 14544 16013
1126 41 2708 18526
1127 43 7226 9571
1128 560 9006 7367
1129 809 9459 5511
1130 770 14985 18535
1131 533 16230 18013
1132 126 3709 18766
1133 853 8778 17796
1134 852 12021 17761
1135 569 1363 14462
1136 114 7161 13931
1137 905 8111 9755
1138 279 1056 14736
1139 459 11422 2850
1140 224 3846 7764
1141 891 19265 11489
1142 179 19997 14030
1143 843 4562 6770
1144 593 6781 1945
1145 297 11495 17441
1146 182 19557 17654
1147 306 10605 9589
1148 985 18767 8760
1149 148 16856 3120
1150 293 13487 1942
1151 265 4157 4348
1152 858 4792 10554
1153 511 8111 12868
1154 657 4658 18921
1155 394 8805 13573
1156 658 14810 2474
1157 537 3050 13200
1158 475 9116 12093
1159 605 15992 10724
1160 758 81 3052
1161 880 15022 11738
1162 417 2075 17512
1163 854 7137 14078
1164 284 6941 16210
1165 355 10579 9292
1166 143 17934 18937
1167 817 18551 15903
1168 57 11263 1586
1169 26 3262 15059
1170 461 4071 5176
1171 991 14959 22
1172 715 14018 6629
1173 172 4322 9891
1174 680 8979 3058
1175 94 11810 8204
1176 63 12184 5423
1177 753 12987 10010
1178 681 7672 14065
1179 11 2988 3118
1180 89 6993 15624
1181 241 4348 19453
1182 19 17021 14583
1183 846 264 11258
1184 720 3951 13838
1185 82 4331 15653
1186 101 7502 12552
1187 330 3356 3381
1188 150 12044 9805
1189 666 12541 4362
1190 553 4681 2241
1191 634 18457 277
1192 369 5377 14421
1193 951 6981 4960
1194 890 13490 14496
1195 928 7118 2840
1196 780 3292 4587
1197 757 4035 19319
1198 996 12583 11519
1199 820 14070 10305
1200 293 4581 8119
1201 576 2760 8131
1202 748 19693 19661
1203 807 19909 9336
1204 220 878 9884
1205 531 16965 19887
1206 312 6181 12836
1207 516 1788 7842
1208 256 12644 3694
1209 82 16370 19461
1210 379 17310 395
1211 406 10370 4324
1212 384 18624 13790
1213 791 17903 5661
1214 27 15434 2391
1215 24 19246 2212
1216 50 8591 7069
1217 528 1981 13040
1218 795 9387 16418
1219 728 13612 13879
1220 665 13181 2700
1221 640 17582 17617
1222 95 5003 9092
1223 533 10155 2589
1224 559 6658 5091
1225 610 10706 12803
1226 725 2166 10163
1227 69 14335 7819
1228 956 8011 2825
1229 474 14237 3800
1230 326 19950 1803
1231 22 5755 3913
1232 177 4496 371
1233 545 16266 11360
1234 180 16948 8495
1235 777 12185 4159
1236 799 8806 3868
1237 836 961 10977
1238 546 14068 8912
1239 739 2092 8616
1240 518 18895 2525
1241 378 14915 16737
1242 889 1816 16371
1243 386 18575 5468
1244 801 5154 8359
1245 700 3371 18805
1246 768 3779 7484
1247 55 16673 84
1248 57 402 8013
1249 402 15458 11926
1250 963 4917 5864
1251 832 1158 18116
1252 339 13741 7356
1253 947 8135 13639
1254 855 10483 8888
1255 391 2552 18728
1256 699 3912 16450
1257 238 1725 5876
1258 986 16900 1504
1259 908 13137 2258
1260 802 15240 9250
1261 98 10180 10724
1262 18 18123 14966
1263 308 12088 6575
1264 767 18474 9958
1265 387 7948 15201
1266 801 19388 16166
1267 788 6403 17909
1268 16 8032 4933
1269 248 13436 783
1270 661 17745 11351
1271 11 314 10977
1272 116 12329 10076
1273 253 6723 17360
1274 994 13756 16122
1275 738 1962 4665
1276 54 9169 3048
1277 432 7584 17031
1278 775 12205 15022
1279 107 2782 19030
1280 662 16561 4374
1281 616 12922 2452
1282 455 18606 2040
1283 308 4283 7758
1284 958 8552 10322
1285 335 12876 10690
1286 249 14835 8911
1287 149 2447 6642
1288 169 19159 3570
1289 470 3462 5386
1290 426 15271 10290
1291 376 3956 17561
1292 325 6803 14808
1293 882 15182 8683
1294 171 3929 2962
1295 51 9968 19769
1296 161 7045 10741
1297 374 2988 8133
1298 60 12984 16825
1299 849 9792 8525
1300 984 5697 1018
1301 579 13251 14817
1302 106 18026 8187
1303 833 15140 3339
1304 22 4580 3979
1305 143 2020 7283
1306 391 6492 13126
1307 610 2753 19081
1308 32 8481 2457
1309 934 2112 6479
1310 104 14530 4220
1311 53 10864 4014
1312 182 15105 1659
1313 851 18805 14193
1314 40 12943 16257
1315 186 12541 13980
1316 940 11598 7035
1317 296 6132 9010
1318 45 14614 4870
1319 520 8053 9670
1320 500 13500 18044
1321 296 1998 2874
1322 439 12550 4496
1323 265 6535 17229
1324 401 17814 639
1325 567 11767 15718
1326 944 15881 11273
1327 339 18535 16462
1328 194 12726 8861
1329 621 854 10448
1330 927 7176 960
1331 838 9205 1919
1332 376 15456 17348
1333 173 19136 7627
1334 682 3281 8121
1335 556 7902 8733
1336 599 1832 7189
1337 967 12727 11626
1338 252 5692 5770
1339 835 19415 10420
1340 38 11756 19384
1341 587 11523 18600
1342 981 4656 18451
1343 565 6168 16129
1344 512 10127 5752
1345 67 1243 2957
1346 234 7622 19715
1347 499 653 17250
1348 949 22 10870
1349 358 6601 4275
1350 70 5815 10603
1351 610 718 4840
1352 876 4641 3634
1353 993 17245 11956
1354 731 2376 12241
1355 113 12962 19202
1356 340 11028 9888
1357 759 4471 5161
1358 674 14315 15964
1359 734 10396 5708
1360 238 18414 11692
1361 397 19298 5745
1362 140 10053 9650
